model,type,recall_score,precision_score,f1_score,accuracy
"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-MLPClassifier(hidden_layer_sizes=(60, 20, 8))-[recall_score, precision_score, f1_score]",eval,0.5638095238095239,0.746031746031746,0.6118326118326118,0.82
"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-MLPClassifier(hidden_layer_sizes=(60, 20, 8))-[recall_score, precision_score, f1_score]",train,0.5355476970258163,0.7272997818435165,0.5865028149037128,0.8436297346566741
"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-MLPClassifier(hidden_layer_sizes=(60, 20, 8))-[recall_score, precision_score, f1_score]",extra feature eval,0.5813492063492064,0.5601010101010101,0.5581906016688625,0.75
"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-MLPClassifier(hidden_layer_sizes=(60, 20, 8))-[recall_score, precision_score, f1_score]",extra feature train,0.5989819597879303,0.7253697407085345,0.6211899556570643,0.840186347984606
"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-MultinomialNB()-[recall_score, precision_score, f1_score]",eval,0.34848484848484845,0.5723905723905723,0.3074168797953964,0.72
"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-MultinomialNB()-[recall_score, precision_score, f1_score]",train,0.34225819587494555,0.5538517915309447,0.31004440675637474,0.7820538788738101
"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-MultinomialNB()-[recall_score, precision_score, f1_score]",extra feature eval,0.38095238095238093,0.5918367346938775,0.3745210727969348,0.78
"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-MultinomialNB()-[recall_score, precision_score, f1_score]",extra feature train,0.3633741422011405,0.6832032134875151,0.3485271352599248,0.7830666396597123
"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-NuSVC(kernel='poly', nu=0.1)-[recall_score, precision_score, f1_score]",eval,0.5241228070175439,0.42700388650244,0.3127216869152352,0.34
"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-NuSVC(kernel='poly', nu=0.1)-[recall_score, precision_score, f1_score]",train,0.4802368660449489,0.4268479711281387,0.2701133609749164,0.31030990480048615
"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-NuSVC(kernel='poly', nu=0.1)-[recall_score, precision_score, f1_score]",extra feature eval,0.4271448663853727,0.5235834124723014,0.4412385129490392,0.72
"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-NuSVC(kernel='poly', nu=0.1)-[recall_score, precision_score, f1_score]",extra feature train,0.44246611563992627,0.4817947368528725,0.44252269541186684,0.6981972858010937
"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-NuSVC(kernel='sigmoid', nu=0.1)-[recall_score, precision_score, f1_score]",eval,0.10427350427350428,0.13813813813813813,0.050783644164258825,0.04
"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-NuSVC(kernel='sigmoid', nu=0.1)-[recall_score, precision_score, f1_score]",train,0.1554459705364788,0.17258352032273536,0.045094882229420874,0.039092566335831476
"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-NuSVC(kernel='sigmoid', nu=0.1)-[recall_score, precision_score, f1_score]",extra feature eval,0.3169312169312169,0.3332080200501253,0.2048067711933258,0.21
"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-NuSVC(kernel='sigmoid', nu=0.1)-[recall_score, precision_score, f1_score]",extra feature train,0.333227253952161,0.3406882569795557,0.2068735429309572,0.22827628114239418
"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-NuSVC(nu=0.1)-[recall_score, precision_score, f1_score]",eval,0.4708333333333334,0.5218531468531469,0.482496194824962,0.64
"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-NuSVC(nu=0.1)-[recall_score, precision_score, f1_score]",train,0.5392207951238458,0.6037738985794981,0.5134502959663719,0.6663965971237593
"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-NuSVC(nu=0.1)-[recall_score, precision_score, f1_score]",extra feature eval,0.561904761904762,0.5219373219373219,0.5074762808349146,0.65
"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-NuSVC(nu=0.1)-[recall_score, precision_score, f1_score]",extra feature train,0.5366581415329006,0.4822228190922753,0.46630747426951324,0.6147457970427385
